matchId,playedAt,mode,durationSeconds,blueKills,redKills,winningSide,side,summoner,hero,position,rating,kills,deaths,assists,damageDealt,damageTaken,gold,teamfightRate,isMvp,medal,item1,item2,item3,item4,item5,item6,notes
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,blue,一罐猫猫头,孙尚香,发育路,9.1,9,7,12,271800,231600,19184,65,false,,,,,,,,无金银牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,blue,大坏蛋4蛋,程咬金,对抗路,8.0,3,3,10,132900,305500,19944,40,false,,,,,,,,无金银牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,blue,逃跑比谁都快,干将莫邪,中路,13.3,13,4,13,450100,168800,20387,81,true,金牌中路,,,,,,,金牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,blue,快跑我断后,项羽,辅助,8.8,6,5,15,162000,224600,16504,65,false,,,,,,,,无金银牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,blue,什么红烧肉丶,蔡文姬,游走,10.5,1,11,26,79000,309200,15363,84,false,银牌游走,,,,,,,银牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,red,净漾银笑幻,狄仁杰,发育路,8.3,5,5,11,270400,162600,20103,53,false,,,,,,,,无金银牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,red,萧瑟仙贝打我,廉颇,对抗路,8.8,5,5,10,196300,280100,18920,50,false,,,,,,,,无金银牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,red,异想天开的球,嬴政,中路,12.6,11,6,13,341700,125900,20861,80,true,金牌中路,,,,,,,金牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,red,月亮西沉朝阳,夏侯惇,打野,8.8,7,8,8,205900,342800,17363,50,false,,,,,,,,无金银牌
M202606092231,2026-06-09 22:31,5v5排位,1813,32,30,red,red,鸽,张良,辅助,8.4,2,8,18,225400,184800,16013,66,false,,,,,,,,无金银牌
M202606112235,2026-06-11 22:35,5v5排位,1069,21,33,red,red,鸽,影,打野,10.3,10,7,6,129300,123000,13000,48,false,铜牌打野,,,,,,,无金银牌
M202606112235,2026-06-11 22:35,5v5排位,1069,21,33,red,red,迪路兽oo,廉颇,对抗路,8.0,4,3,8,64100,98700,10500,36,false,,,,,,,,无金银牌
M202606112235,2026-06-11 22:35,5v5排位,1069,21,33,red,red,月亮西沉朝阳,张良,中路,7.7,2,4,14,85800,73300,10900,48,false,,,,,,,,无金银牌
M202606112235,2026-06-11 22:35,5v5排位,1069,21,33,red,red,萧瑟仙贝打我,公孙离,发育路,10.2,13,6,7,123500,83100,13500,60,false,铜牌发育路,,,,,,,无金银牌
M202606112235,2026-06-11 22:35,5v5排位,1069,21,33,red,red,异想天开的球,孙膑,游走,13.8,4,1,17,82700,129800,10800,63,true,金牌游走,,,,,,,金牌
M202606112216,2026-06-11 22:16,5v5排位,959,26,14,blue,blue,鸽,亚瑟,打野,12.6,11,1,8,88000,89000,13300,73,false,,,,,,,,无金银牌
M202606112216,2026-06-11 22:16,5v5排位,959,26,14,blue,blue,萧瑟仙贝打我,吕布,对抗路,8.5,2,4,12,74300,102800,10100,53,false,,,,,,,,无金银牌
M202606112216,2026-06-11 22:16,5v5排位,959,26,14,blue,blue,月亮西沉朝阳,不知火舞,中路,8.0,5,4,8,85600,55600,10000,50,false,,,,,,,,无金银牌
M202606112216,2026-06-11 22:16,5v5排位,959,26,14,blue,blue,异想天开的球,狄仁杰,发育路,12.1,7,2,6,150000,77900,12400,50,false,,,,,,,,无金银牌
M202606112216,2026-06-11 22:16,5v5排位,959,26,14,blue,blue,迪路兽oo,瑶,游走,8.2,1,3,16,35400,49500,8900,65,false,,,,,,,,无金银牌
M202606112158,2026-06-11 21:58,5v5排位,858,16,28,red,blue,鸽,诸葛亮,打野,8.4,4,6,6,119200,62100,8900,62,false,,,,,,,,无金银牌
M202606112158,2026-06-11 21:58,5v5排位,858,16,28,red,blue,萧瑟仙贝打我,芈月,对抗路,7.5,4,8,1,109400,111400,7700,31,false,,,,,,,,无金银牌
M202606112158,2026-06-11 21:58,5v5排位,858,16,28,red,blue,月亮西沉朝阳,干将莫邪,中路,4.1,1,8,4,59600,54300,8100,31,false,,,,,,,,无金银牌
M202606112158,2026-06-11 21:58,5v5排位,858,16,28,red,blue,异想天开的球,虞姬,发育路,7.4,3,2,5,67400,35700,9300,50,false,,,,,,,,无金银牌
M202606112158,2026-06-11 21:58,5v5排位,858,16,28,red,blue,迪路兽oo,牛魔,游走,5.8,4,4,5,19500,80900,7600,56,false,,,,,,,,无金银牌
M202606112142,2026-06-11 21:42,5v5排位,786,15,19,red,blue,鸽,影,打野,9.1,5,3,4,94200,100500,9400,60,false,,,,,,,,无金银牌
M202606112142,2026-06-11 21:42,5v5排位,786,15,19,red,blue,月亮西沉朝阳,程咬金,对抗路,6.0,1,5,3,47800,120500,7600,26,false,,,,,,,,无金银牌
M202606112142,2026-06-11 21:42,5v5排位,786,15,19,red,blue,异想天开的球,小乔,中路,13.0,5,3,8,94400,50200,10000,86,false,,,,,,,,无金银牌
M202606112142,2026-06-11 21:42,5v5排位,786,15,19,red,blue,萧瑟仙贝打我,马可波罗,发育路,6.1,4,5,3,44400,45700,8500,46,false,,,,,,,,无金银牌
M202606112142,2026-06-11 21:42,5v5排位,786,15,19,red,blue,迪路兽oo,朵莉亚,游走,6.6,0,4,8,20300,97600,6800,53,false,,,,,,,,无金银牌
